Gemeinde,03.01.2022 | 15:00 Uhr,04.01.2022 | 15:00 Uhr,Differenz
Bergkamen,3978,3987,9
Bönen,1489,1498,9
Fröndenberg/Ruhr,1321,1338,17
Holzwickede,1023,1029,6
Kamen,2844,2857,13
Lünen,7462,7504,42
Schwerte,2856,2891,35
Selm,1682,1692,10
Unna,3750,3773,23
Werne,1925,1941,16
