Gemeinde,30.07.2021 | 13:00 Uhr,02.08.2021 | 15:00 Uhr,Differenz
Bergkamen,2899,2899,0
Bönen,960,961,1
Fröndenberg/Ruhr,994,996,2
Holzwickede,691,692,1
Kamen,1951,1955,4
Lünen,5206,5215,9
Schwerte,1813,1813,0
Selm,1142,1142,0
Unna,2248,2248,0
Werne,1274,1275,1
