Gemeinde,29.11.2021 | 15:00 Uhr,30.11.2021 | 15:00 Uhr,Differenz
Bergkamen,3522,3545,23
Bönen,1216,1222,6
Fröndenberg/Ruhr,1166,1172,6
Holzwickede,894,903,9
Kamen,2465,2476,11
Lünen,6691,6713,22
Schwerte,2361,2372,11
Selm,1480,1492,12
Unna,3033,3052,19
Werne,1627,1638,11
