Gemeinde,24.09.2021 | 13:00 Uhr,27.09.2021 | 15:00 Uhr,Differenz
Bergkamen,3158,3163,5
Bönen,1028,1029,1
Fröndenberg/Ruhr,1051,1052,1
Holzwickede,773,777,4
Kamen,2146,2158,12
Lünen,5685,5703,18
Schwerte,1981,1986,5
Selm,1205,1206,1
Unna,2497,2511,14
Werne,1371,1371,0
