Gemeinde,Gesamtfallzahlen
Castrop-Rauxel,3857
Datteln,1821
Dorsten,2886
Gladbeck,4847
Haltern am See,996
Herten,3523
Marl,4387
Oer-Erkenschwick,1746
Recklinghausen,6140
Waltrop,1317
