Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4344,1
Datteln,2087,2
Dorsten,3314,0
Gladbeck,5859,1
Haltern am See,1124,2
Herten,4126,1
Marl,5207,0
Oer-Erkenschwick,1995,1
Recklinghausen,7375,4
Waltrop,1440,0
