Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3876,3
Datteln,1831,0
Dorsten,2911,3
Gladbeck,4884,1
Haltern am See,1003,0
Herten,3566,1
Marl,4413,0
Oer-Erkenschwick,1761,0
Recklinghausen,6197,2
Waltrop,1315,0
