Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,6347,16
Datteln,2978,16
Dorsten,5114,23
Gladbeck,8200,30
Haltern am See,1954,2
Herten,6197,33
Marl,7389,24
Oer-Erkenschwick,2951,6
Recklinghausen,11079,49
Waltrop,2135,6
