Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5147,32
Datteln,2518,17
Dorsten,3916,29
Gladbeck,6853,38
Haltern am See,1483,20
Herten,5028,29
Marl,6239,27
Oer-Erkenschwick,2350,17
Recklinghausen,8862,58
Waltrop,1776,3
