Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4659,11
Datteln,2299,6
Dorsten,3519,4
Gladbeck,6209,8
Haltern am See,1235,2
Herten,4488,12
Marl,5613,8
Oer-Erkenschwick,2156,3
Recklinghausen,7970,19
Waltrop,1570,4
