Gemeinde,Gesamtfallzahlen
Castrop-Rauxel,3857
Datteln,1821
Dorsten,2879
Gladbeck,4845
Haltern am See,995
Herten,3519
Marl,4363
Oer-Erkenschwick,1741
Recklinghausen,6136
Waltrop,1317
