Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5411,11
Datteln,2608,7
Dorsten,4171,17
Gladbeck,7328,22
Haltern am See,1589,10
Herten,5353,21
Marl,6474,16
Oer-Erkenschwick,2562,17
Recklinghausen,9307,25
Waltrop,1855,9
