Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4228,9
Datteln,1958,3
Dorsten,3194,7
Gladbeck,5528,15
Haltern am See,1086,1
Herten,3939,14
Marl,4938,29
Oer-Erkenschwick,1872,4
Recklinghausen,6912,15
Waltrop,1384,0
