Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4406,13
Datteln,2136,8
Dorsten,3358,4
Gladbeck,5935,18
Haltern am See,1144,3
Herten,4202,12
Marl,5328,17
Oer-Erkenschwick,2037,9
Recklinghausen,7503,30
Waltrop,1479,6
