Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4316,4
Datteln,2050,3
Dorsten,3295,1
Gladbeck,5818,14
Haltern am See,1118,1
Herten,4084,6
Marl,5166,4
Oer-Erkenschwick,1968,5
Recklinghausen,7308,18
Waltrop,1434,1
