Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3948,7
Datteln,1856,4
Dorsten,2962,4
Gladbeck,5001,13
Haltern am See,1020,1
Herten,3619,4
Marl,4455,0
Oer-Erkenschwick,1773,2
Recklinghausen,6256,7
Waltrop,1325,1
