Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5509,15
Datteln,2643,4
Dorsten,4291,10
Gladbeck,7464,11
Haltern am See,1657,7
Herten,5448,6
Marl,6581,8
Oer-Erkenschwick,2618,3
Recklinghausen,9545,20
Waltrop,1890,6
