Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3887,0
Datteln,1841,1
Dorsten,2919,0
Gladbeck,4907,1
Haltern am See,1007,1
Herten,3574,0
Marl,4426,1
Oer-Erkenschwick,1765,0
Recklinghausen,6217,0
Waltrop,1322,1
