Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4239,1
Datteln,1977,1
Dorsten,3222,9
Gladbeck,5596,13
Haltern am See,1092,1
Herten,3974,6
Marl,4998,10
Oer-Erkenschwick,1888,4
Recklinghausen,7004,29
Waltrop,1395,5
