Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4019,2
Datteln,1878,0
Dorsten,3023,0
Gladbeck,5142,5
Haltern am See,1041,0
Herten,3731,6
Marl,4608,14
Oer-Erkenschwick,1802,1
Recklinghausen,6450,3
Waltrop,1336,0
