Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3872,1
Datteln,1823,0
Dorsten,2894,1
Gladbeck,4862,3
Haltern am See,1000,1
Herten,3550,4
Marl,4407,4
Oer-Erkenschwick,1755,0
Recklinghausen,6164,4
Waltrop,1317,0
