Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5293,23
Datteln,2573,11
Dorsten,4050,34
Gladbeck,7120,49
Haltern am See,1528,9
Herten,5216,29
Marl,6376,27
Oer-Erkenschwick,2465,26
Recklinghausen,9112,42
Waltrop,1815,13
