Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5434,23
Datteln,2614,6
Dorsten,4194,23
Gladbeck,7339,11
Haltern am See,1597,8
Herten,5363,10
Marl,6480,6
Oer-Erkenschwick,2570,8
Recklinghausen,9345,38
Waltrop,1859,4
