Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5050,23
Datteln,2460,7
Dorsten,3796,11
Gladbeck,6665,37
Haltern am See,1429,19
Herten,4904,41
Marl,6105,28
Oer-Erkenschwick,2305,19
Recklinghausen,8648,56
Waltrop,1731,12
