Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4252,1
Datteln,1993,1
Dorsten,3244,0
Gladbeck,5658,3
Haltern am See,1100,0
Herten,4004,1
Marl,5056,3
Oer-Erkenschwick,1898,0
Recklinghausen,7088,5
Waltrop,1408,2
