Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4055,8
Datteln,1893,8
Dorsten,3080,8
Gladbeck,5240,21
Haltern am See,1053,2
Herten,3773,11
Marl,4660,13
Oer-Erkenschwick,1816,4
Recklinghausen,6555,44
Waltrop,1343,2
