Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5820,39
Datteln,2758,13
Dorsten,4647,47
Gladbeck,7736,28
Haltern am See,1808,16
Herten,5773,41
Marl,6936,43
Oer-Erkenschwick,2737,13
Recklinghausen,10242,66
Waltrop,1978,14
