Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4444,19
Datteln,2164,9
Dorsten,3377,9
Gladbeck,5990,23
Haltern am See,1154,5
Herten,4245,19
Marl,5368,14
Oer-Erkenschwick,2048,3
Recklinghausen,7578,28
Waltrop,1486,4
