Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4241,2
Datteln,1981,4
Dorsten,3227,5
Gladbeck,5616,20
Haltern am See,1096,4
Herten,3985,11
Marl,5018,20
Oer-Erkenschwick,1893,5
Recklinghausen,7038,34
Waltrop,1399,4
