Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3877,0
Datteln,1827,0
Dorsten,2901,2
Gladbeck,4865,1
Haltern am See,1002,0
Herten,3555,0
Marl,4413,0
Oer-Erkenschwick,1760,1
Recklinghausen,6180,5
Waltrop,1317,0
