Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3887,1
Datteln,1840,0
Dorsten,2919,4
Gladbeck,4906,4
Haltern am See,1006,0
Herten,3574,2
Marl,4425,2
Oer-Erkenschwick,1765,0
Recklinghausen,6217,6
Waltrop,1321,0
