Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4393,2
Datteln,2128,0
Dorsten,3354,2
Gladbeck,5917,0
Haltern am See,1141,0
Herten,4190,0
Marl,5311,5
Oer-Erkenschwick,2028,3
Recklinghausen,7473,6
Waltrop,1473,0
