Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4936,43
Datteln,2400,12
Dorsten,3679,32
Gladbeck,6464,45
Haltern am See,1353,17
Herten,4746,27
Marl,5917,41
Oer-Erkenschwick,2229,7
Recklinghausen,8408,52
Waltrop,1670,15
