Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3861,0
Datteln,1822,1
Dorsten,2891,2
Gladbeck,4856,8
Haltern am See,998,0
Herten,3528,3
Marl,4397,5
Oer-Erkenschwick,1746,0
Recklinghausen,6144,3
Waltrop,1317,0
