Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4356,9
Datteln,2101,12
Dorsten,3323,8
Gladbeck,5872,11
Haltern am See,1125,1
Herten,4142,12
Marl,5220,8
Oer-Erkenschwick,2000,5
Recklinghausen,7388,12
Waltrop,1447,7
