Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4121,23
Datteln,1920,6
Dorsten,3123,12
Gladbeck,5344,24
Haltern am See,1067,1
Herten,3810,14
Marl,4741,23
Oer-Erkenschwick,1833,6
Recklinghausen,6647,24
Waltrop,1355,3
