Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5607,15
Datteln,2678,3
Dorsten,4409,21
Gladbeck,7538,10
Haltern am See,1708,9
Herten,5549,21
Marl,6690,14
Oer-Erkenschwick,2663,10
Recklinghausen,9819,48
Waltrop,1927,6
