Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5198,30
Datteln,2536,11
Dorsten,3966,21
Gladbeck,6935,56
Haltern am See,1497,11
Herten,5090,32
Marl,6287,26
Oer-Erkenschwick,2390,25
Recklinghausen,8953,61
Waltrop,1791,8
