Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4311,0
Datteln,2047,2
Dorsten,3293,0
Gladbeck,5800,3
Haltern am See,1117,1
Herten,4078,0
Marl,5160,3
Oer-Erkenschwick,1961,2
Recklinghausen,7287,2
Waltrop,1432,1
