Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4293,5
Datteln,2024,2
Dorsten,3279,9
Gladbeck,5739,9
Haltern am See,1112,1
Herten,4037,9
Marl,5121,6
Oer-Erkenschwick,1932,6
Recklinghausen,7216,30
Waltrop,1425,0
