Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4233,5
Datteln,1964,6
Dorsten,3198,4
Gladbeck,5554,26
Haltern am See,1087,1
Herten,3953,14
Marl,4955,17
Oer-Erkenschwick,1880,8
Recklinghausen,6943,31
Waltrop,1385,1
