Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4288,0
Datteln,2022,1
Dorsten,3268,0
Gladbeck,5729,2
Haltern am See,1111,0
Herten,4028,1
Marl,5111,1
Oer-Erkenschwick,1924,1
Recklinghausen,7183,4
Waltrop,1424,2
