Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,6167,66
Datteln,2893,35
Dorsten,4931,75
Gladbeck,8039,99
Haltern am See,1919,27
Herten,6078,62
Marl,7247,74
Oer-Erkenschwick,2900,40
Recklinghausen,10827,149
Waltrop,2095,26
