Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3886,1
Datteln,1840,3
Dorsten,2915,2
Gladbeck,4902,2
Haltern am See,1006,0
Herten,3572,0
Marl,4423,0
Oer-Erkenschwick,1765,0
Recklinghausen,6211,1
Waltrop,1321,0
