Gemeinde,Gesamtfallzahlen
Castrop-Rauxel,3849
Datteln,1818
Dorsten,2874
Gladbeck,4829
Haltern am See,991
Herten,3508
Marl,4339
Oer-Erkenschwick,1738
Recklinghausen,6126
Waltrop,1318
