Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3911,5
Datteln,1845,1
Dorsten,2935,3
Gladbeck,4946,8
Haltern am See,1011,1
Herten,3587,6
Marl,4448,4
Oer-Erkenschwick,1766,0
Recklinghausen,6236,3
Waltrop,1323,0
