Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4526,23
Datteln,2225,23
Dorsten,3421,11
Gladbeck,6090,37
Haltern am See,1182,7
Herten,4309,16
Marl,5468,31
Oer-Erkenschwick,2085,7
Recklinghausen,7735,59
Waltrop,1519,13
