Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4331,11
Datteln,2070,11
Dorsten,3303,4
Gladbeck,5829,7
Haltern am See,1120,2
Herten,4105,9
Marl,5183,6
Oer-Erkenschwick,1982,10
Recklinghausen,7348,23
Waltrop,1437,1
