Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5687,39
Datteln,2710,14
Dorsten,4503,42
Gladbeck,7622,38
Haltern am See,1762,22
Herten,5638,39
Marl,6777,47
Oer-Erkenschwick,2692,14
Recklinghausen,10006,97
Waltrop,1938,8
