Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3925,6
Datteln,1851,3
Dorsten,2951,11
Gladbeck,4962,10
Haltern am See,1012,1
Herten,3601,10
Marl,4452,0
Oer-Erkenschwick,1768,0
Recklinghausen,6241,4
Waltrop,1323,0
