Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5337,44
Datteln,2583,10
Dorsten,4075,25
Gladbeck,7164,44
Haltern am See,1543,15
Herten,5257,41
Marl,6410,34
Oer-Erkenschwick,2489,24
Recklinghausen,9167,55
Waltrop,1825,10
