Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5938,14
Datteln,2806,7
Dorsten,4724,13
Gladbeck,7823,8
Haltern am See,1850,4
Herten,5889,9
Marl,7047,11
Oer-Erkenschwick,2791,1
Recklinghausen,10463,22
Waltrop,2007,4
