Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5546,37
Datteln,2656,13
Dorsten,4324,33
Gladbeck,7481,17
Haltern am See,1681,24
Herten,5478,30
Marl,6612,31
Oer-Erkenschwick,2626,8
Recklinghausen,9626,81
Waltrop,1896,6
