Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3877,0
Datteln,1827,0
Dorsten,2901,0
Gladbeck,4867,0
Haltern am See,1002,0
Herten,3555,0
Marl,4413,0
Oer-Erkenschwick,1760,0
Recklinghausen,6183,0
Waltrop,1317,0
