Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4304,4
Datteln,2036,1
Dorsten,3289,4
Gladbeck,5772,18
Haltern am See,1114,1
Herten,4066,8
Marl,5147,10
Oer-Erkenschwick,1947,4
Recklinghausen,7254,14
Waltrop,1431,1
