Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3892,0
Datteln,1844,0
Dorsten,2926,0
Gladbeck,4911,0
Haltern am See,1009,0
Herten,3577,0
Marl,4437,1
Oer-Erkenschwick,1765,0
Recklinghausen,6225,0
Waltrop,1322,0
