Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4126,5
Datteln,1920,0
Dorsten,3130,7
Gladbeck,5366,22
Haltern am See,1070,3
Herten,3820,10
Marl,4752,11
Oer-Erkenschwick,1835,2
Recklinghausen,6668,21
Waltrop,1356,1
