Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5270,28
Datteln,2562,11
Dorsten,4016,18
Gladbeck,7071,53
Haltern am See,1519,9
Herten,5187,36
Marl,6349,18
Oer-Erkenschwick,2439,27
Recklinghausen,9070,45
Waltrop,1802,3
