Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4391,1
Datteln,2128,1
Dorsten,3352,2
Gladbeck,5917,3
Haltern am See,1141,0
Herten,4190,4
Marl,5306,6
Oer-Erkenschwick,2025,2
Recklinghausen,7467,12
Waltrop,1473,2
