Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4024,5
Datteln,1880,2
Dorsten,3038,15
Gladbeck,5169,27
Haltern am See,1044,3
Herten,3741,10
Marl,4617,9
Oer-Erkenschwick,1804,2
Recklinghausen,6473,23
Waltrop,1336,0
