Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3873,1
Datteln,1824,1
Dorsten,2896,2
Gladbeck,4863,1
Haltern am See,1000,0
Herten,3552,2
Marl,4409,2
Oer-Erkenschwick,1755,0
Recklinghausen,6167,3
Waltrop,1317,0
