Gemeinde,Gesamtfallzahlen
Castrop-Rauxel,3855
Datteln,1819
Dorsten,2875
Gladbeck,4838
Haltern am See,994
Herten,3515
Marl,4355
Oer-Erkenschwick,1738
Recklinghausen,6129
Waltrop,1317
