Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4659,0
Datteln,2304,5
Dorsten,3521,2
Gladbeck,6216,7
Haltern am See,1240,5
Herten,4495,7
Marl,5619,6
Oer-Erkenschwick,2158,2
Recklinghausen,7988,18
Waltrop,1571,1
