Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4098,4
Datteln,1914,5
Dorsten,3111,8
Gladbeck,5320,14
Haltern am See,1066,3
Herten,3796,7
Marl,4718,12
Oer-Erkenschwick,1827,3
Recklinghausen,6623,16
Waltrop,1352,2
